1377.4905,120.8139,120.5031,11.4018,11.4018,40.0000
2565.0195,121.5936,121.4990,21.0950,21.0950,150.0000
2443.1210,127.0118,124.7878,19.2354,19.2354,95.0000
1964.8969,126.5701,124.9040,15.5242,15.5242,100.0000
2032.0630,127.0039,126.5701,16.0000,16.0000,80.0000
1550.9739,129.2478,128.1405,12.0000,12.0000,95.0000
2024.2776,134.9518,134.3503,15.0000,15.0000,75.0000
2484.2609,138.0145,137.1313,18.0000,18.0000,115.0000
2095.5489,139.7033,139.7033,15.0000,15.0000,50.0000
1773.1599,147.7633,146.4923,12.0000,12.0000,50.0000
2707.2503,150.4028,150.0300,18.0000,18.0000,35.0000
1735.4654,152.2104,151.4001,11.4018,11.4018,60.0000
2370.4272,158.0285,156.0000,15.0000,15.0000,145.0000
3790.2623,172.2846,170.9503,22.0000,22.0000,175.0000
1940.3093,190.2630,189.9526,10.1980,10.1980,85.0000
3255.2087,271.2674,245.2835,12.0000,12.0000,210.0000
