Acc-1,Acc-2,Acc-3,Gps-1,Gps-2,Gyr-1,Gyr-2,Gyr-3,Lum-1,MagF-1,MagF-2,MagF-3,Class
0.94331545,-10.554838,0.8583213,-21.929064,-50.49247,-0.257327,1.5531249,0.2270128,0,17.512499,-9.6075,-3.9675,0
2.112883,-7.3537903,-1.3263878,-21.929018,-50.49246,0.8031351,3.9019017,0.92645353,0,15.907499,-11.1449995,-2.76,0
-1.7884687,-18.376696,1.8231846,-21.928986,-50.492496,2.2710443,1.1798862,0.30886874,0,14.9775,-10.4325,-2.925,0
1.0881647,-4.9536033,12.823344,-21.928965,-50.492523,2.2618814,1.2696834,0.8977428,0,15.532499,-7.3574996,-9.825,0
1.6184803,-7.645883,-2.790442,-21.928942,-50.492542,-2.6073256,-1.0558805,1.309466,0,15.315,-5.895,-12.2325,0
-3.8522706,-2.006341,0.29448682,-21.928867,-50.49256,-1.3061826,1.0143417,-2.8841238,0,15.9,-5.4,-11.4375,0
-0.89662856,-4.4005427,4.7058034,-21.928862,-50.492565,0.38591412,-1.8023579,-0.17738,1,15.9825,-3.1575,-11.61,0
-2.1679497,-14.864401,3.2980127,-21.928846,-50.49257,-0.45891252,-3.3411274,-1.35635,0,14.639999,-5.37,-12.599999,0
1.0151415,-15.825673,1.9955671,-21.928812,-50.492577,-2.0477731,0.20311269,-1.6196328,0,17.0175,-4.7625,-8.745,0
7.9475527,-9.7863,2.136825,-21.9288,-50.492573,-0.64950246,-0.5458081,-0.9415724,0,18.307499,-7.7025,-4.1625,0
1.9117701,-9.569624,1.7393875,-21.928787,-50.49251,-0.41065416,2.0234911,-0.34536794,0,17.8275,-8.9325,-2.1675,0
0.8631097,-8.240842,-2.03148,-21.928793,-50.492485,1.2460123,3.9904773,1.0791699,0,16.395,-11.7375,-0.65999997,0
2.64679,-13.214796,2.304419,-21.9288,-50.49242,2.5294402,3.0955596,0.30337095,0,15.63,-10.184999,2.1825,0
14.378378,-15.691598,15.72392,-21.9288,-50.492413,2.3272438,3.0601294,0.7187593,0,18.7425,-8.7074995,-2.865,0
0.92296475,-14.489709,-7.8757267,-21.928802,-50.492393,0.72250086,2.9416215,1.1475867,0,19.5,-9.179999,-1.26,0
-3.976769,-0.47046062,2.2505496,-21.928804,-50.49238,1.5178474,-2.5250115,-0.12851077,0,19.125,-7.47,-8.835,0
-0.82599956,1.2916719,5.66109,-21.928808,-50.49235,1.5642731,-3.0656273,0.011377365,0,17.2875,-8.115,-7.3199997,0
-0.439336,-6.077681,0.15322891,-21.928812,-50.49234,-0.6440047,-1.430341,-0.55367297,0,18.66,-6.6749997,3.1425,0
-3.8235402,-19.065027,-4.631583,-21.928799,-50.492317,-0.7118107,-2.1933117,-1.2977068,0,25.635,-4.815,8.19,0
6.578069,-8.564059,3.1615434,-21.928785,-50.492283,-0.69226307,0.45845437,-0.37346774,0,9.945,-13.5824995,22.02,0
1.0247183,-8.695741,-0.2861071,-21.928783,-50.492264,1.2466233,0.6985244,0.7034877,0,-0.53999996,-10.965,24.877499,0
-3.4452562,-4.7896004,7.141904,-21.928783,-50.49225,0.9277516,-0.8078693,1.9655353,0,9.554999,-11.91,17.3025,0
5.5725045,-12.838906,-8.376115,-21.92879,-50.492233,-0.6947065,1.3326025,1.0834459,0,14.775,-12.54,12.599999,0
-4.4699745,0.18914193,2.742558,-21.928785,-50.4922,-1.48089,0.31612277,-1.9757673,0,14.077499,-12.99,12.2925,0
0.4417302,-4.72376,4.0054994,-21.928778,-50.4922,-0.397826,-2.2348504,-0.5023603,0,16.1925,-11.197499,9.787499,0
0.5398925,-16.844406,-2.1332338,-21.92877,-50.49221,-0.4625777,-3.1096096,-1.6459,0,13.747499,-12.2925,12.1125,0
8.558074,-9.1829605,-4.909311,-21.928757,-50.492218,-1.630552,-0.4578435,-2.0515146,1,6.9975,-13.41,17.775,0
1.0690111,-10.473435,1.5705963,-21.928738,-50.49222,-0.53038377,1.248914,-0.6098726,0,2.0925,-12.96,19.852499,0
2.079364,-6.8091097,0.6368576,-21.92872,-50.492218,0.90576047,1.2733486,0.72670054,0,-2.46,-10.889999,21.84,0
-1.7729063,-4.8901567,9.01417,-21.928715,-50.492218,0.9149234,0.19761491,1.6552157,0,3.3899999,-11.0925,21.1575,0
2.552219,-0.2741361,-3.8977604,-21.928698,-50.492214,-0.47784933,-1.0180069,0.88919073,0,8.655,-12.952499,17.3925,0
-1.3802572,-8.076839,-3.9396589,-21.928673,-50.492207,-0.7191411,-0.33078352,-1.1162798,0,2.0175,-15.202499,19.574999,0
-4.0581717,-4.8015714,1.5143325,-21.92866,-50.492207,1.8318322,-1.3020593,-0.045433104,0,0.98999995,-16.672499,18.727499,0
2.9783869,-6.63553,0.12210429,-21.92865,-50.492207,1.6943874,-1.2770138,-0.9311877,0,-3.7575,-16.5375,19.215,0
8.214506,-8.532935,-4.417302,-21.928637,-50.492207,-1.1082623,-0.73639804,-2.557311,0,5.3925,-15.554999,16.5825,0
4.122815,-9.715671,-1.2617443,-21.928625,-50.492203,-1.109484,2.3600779,-0.9171378,0,16.1925,-12.434999,9.929999,0
2.8323407,-8.057686,2.1176715,-21.928612,-50.492203,1.1531608,3.58303,0.25022566,0,5.6625,-9.6525,20.4525,0
1.7501614,-13.739126,1.127669,-21.928598,-50.492203,1.7957911,1.6728544,0.84093237,0,3.4275,-10.889999,19.635,0
-12.549209,-13.791799,-1.4053963,-21.928587,-50.492203,0.4689918,1.3038919,0.53244543,0,9.8324995,-14.1449995,15.322499,0
-4.449624,-2.4432828,1.9740193,-21.928572,-50.492203,-1.444849,-1.6563611,0.40538543,0,9.855,-15.299999,14.009999,0
2.5151088,-6.951565,1.3227965,-21.928558,-50.4922,-0.4240932,-2.2434027,-0.71433055,0,11.505,-13.1925,14.8575,0
-1.638831,-13.412318,0.20709845,-21.928532,-50.49219,0.9106474,-1.1187997,-1.0099894,0,-5.73,-16.9275,16.994999,0
5.9519854,-11.602302,-4.8614264,-21.92852,-50.49219,-0.75334954,1.9593502,-2.5817456,0,-7.125,-17.047499,16.762499,0
-0.45489833,-10.733206,-2.2469583,-21.928509,-50.49219,-0.36178493,0.38515055,0.06207918,0,1.7025,-13.2975,20.9025,0
-0.15562311,-9.546879,-1.769315,-21.928497,-50.492195,0.65225136,1.4419475,0.7908414,0,18.39,-10.0275,11.5125,0
1.1468226,-0.4189853,1.2138603,-21.928497,-50.492195,1.7884607,-2.6887233,-0.3392593,0,21.9,-6,-9.202499,0
-1.6998832,-11.6825075,2.5689783,-21.928488,-50.492207,0.25152376,-2.332589,0.30825788,0,-0.0975,-13.1025,-20.699999,0
-1.5586253,-8.184579,-2.3139958,-21.928474,-50.492218,0.24113905,0.48899764,-0.3759112,0,2.3999999,-8.7975,-23.1,0
0.9720459,-14.798561,-0.44891283,-21.928463,-50.492226,-3.2426255,-0.64476824,-0.879875,0,21.3375,3.2624998,-9.6525,0
6.457162,-15.442601,-1.2258313,-21.928452,-50.49223,-2.0257819,-0.9947941,-1.926898,0,16.012499,-3.375,-0.4125,0
-1.3718776,-10.33098,0.007182605,-21.928436,-50.492233,-0.20906863,0.016798794,-0.295277,0,24.0225,-20.137499,0.2925,0
2.256535,-8.626308,-1.4401124,-21.928423,-50.492233,-0.045356743,2.251344,1.4420238,0,27.4275,-2.0774999,6.7425,0
0.36990416,-13.8959465,1.3108255,-21.92841,-50.492233,1.9937115,2.6569583,0.20868684,0,19.02,-7.4024997,15.434999,0
-0.736217,-9.4295635,8.327033,-21.928398,-50.492237,1.5282321,-0.8335256,1.6918677,0,21.262499,-11.655,2.22,0
33.795353,-19.628862,-31.783028,-21.928387,-50.492237,-0.4222606,2.404671,0.8329911,0,21.24,-12.8475,-13.1325,0
-1.5705963,-3.144784,3.7122097,-21.928383,-50.492237,2.0328069,-0.90194255,1.5098298,0,23.685,3.7424998,-5.9474998,0
1.2916719,-8.376115,1.1264719,-21.928373,-50.492237,-0.43264532,-1.9184223,-1.3844497,0,29.5275,0.13499999,1.095,0
2.5594015,-13.68406,0.7098808,-21.928364,-50.492237,-2.1723895,-0.1853976,-1.3997214,0,19.102499,-4.9725,-1.4024999,0
9.306262,-10.562021,-5.409699,-21.928354,-50.49224,-0.8388707,0.19822577,-0.62331164,0,22.4025,-11.91,1.365,0
1.0666169,-9.455899,2.0494366,-21.928345,-50.49224,0.6247624,0.49021935,0.53733236,0,25.4475,-12.6449995,5.9249997,0
2.0470424,-8.210915,1.4053963,-21.928331,-50.492245,1.1965322,0.9062186,0.85009533,0,23.6175,-12.8175,9.315,0
-0.19632454,-11.324574,1.8962077,-21.92832,-50.49224,1.5263995,2.7638597,0.6802748,0,21.615,-14.325,10.304999,0
-8.51019,-16.989256,-7.422025,-21.92832,-50.49224,2.1116085,2.65818,0.83971065,0,24.6075,-11.4825,-2.4824998,0
5.8622026,-22.798786,-37.094563,-21.92832,-50.492237,-0.031306844,1.7308867,0.04008803,0,23.137499,-7.08,-5.43,0
-4.498705,-1.8830396,4.818331,-21.928316,-50.492226,-1.7838793,-2.4236078,-1.2543354,0,19.0275,-7.1025,-3.9524999,0
0.48841715,-4.900931,4.19943,-21.928308,-50.49221,0.690125,-1.4242324,0.032757647,0,22.635,-11.34,-7.5975,0
-1.3060371,-18.167202,-3.892972,-21.928299,-50.492203,-0.12415836,-3.238502,-1.4577535,0,26.115,-6.2549996,-13.372499,0
4.961983,-11.010934,-6.4020953,-21.928293,-50.4922,-1.912161,0.7492262,-1.3355805,0,26.189999,-3.99,-5.5724998,0
7.9008656,-11.677719,2.5605986,-21.928276,-50.492184,-1.6641496,-1.3374895,-1.8566486,0,20.9025,-2.9325,-0.39,0
0.9672575,-10.435128,1.3982137,-21.928265,-50.49218,-0.34529158,0.44012842,-0.122402124,0,13.1025,-7.5,-1.0725,0
1.6172832,-7.475895,-1.3156139,-21.928253,-50.492176,0.08353582,4.214054,1.4426346,0,15.929999,-16.6125,2.4375,0
1.6699557,-11.931504,1.7681179,-21.928247,-50.49217,2.217288,1.9758437,0.8128326,0,21.9825,-13.2675,6.4874997,0
-0.8319851,-4.71538,6.939594,-21.928238,-50.49216,1.1849259,-0.47555858,1.2428817,0,22.545,-9.12,0.84749997,0
-12.306197,-11.61547,-1.5286977,-21.928228,-50.492153,0.61315596,0.34605515,0.26061037,0,18.555,-8.7375,-5.685,0
-7.0832458,-9.203311,-5.722142,-21.928232,-50.49214,-1.0575604,1.9398025,-0.5939901,0,21.0525,-11.3475,-5.4,0
-1.3024458,-3.7313633,4.2760444,-21.92826,-50.492126,1.7402023,-0.9379836,0.08407033,0,27.404999,-8.3324995,-9.78,0
-0.7194576,-11.348516,2.2110453,-21.928288,-50.49212,-0.12110403,-2.300824,-1.0197631,0,26.002499,4.935,-15.42,0
-2.244564,-18.859127,4.4424415,-21.928349,-50.492092,-0.15836681,-1.1414018,-2.0667863,0,20.595,0.6525,-2.9624999,0
7.3549876,-11.003751,-0.06584055,-21.928362,-50.49208,-1.9616411,0.25809056,-2.299526,0,18.765,-5.8424997,4.1549997,0
8.541314,-10.007763,-1.780089,-21.928362,-50.49208,-0.37216964,0.50610185,-0.03932445,0,15.997499,-10.365,4.2149997,0
1.0307038,-8.761581,1.1492168,-21.92886,-50.492397,0.6430884,3.1224377,1.1231521,0,18.285,-14.737499,9.907499,0
0.21547815,-13.00291,1.2126632,-21.929062,-50.492477,2.2032382,1.9862283,0.7804567,0,22.5075,-14.295,9.78,0
2.184709,-12.337321,8.632295,-21.92904,-50.49245,1.483639,0.80481493,1.3858242,0,22.664999,-8.55,-3.0225,0
2.5378537,-5.6120086,-5.149928,-21.928932,-50.492542,-1.5865698,-1.4859297,1.6710982,0,21.48,-5.025,-6.1724997,0
-4.3119574,-3.1914709,2.8191724,-21.928911,-50.492546,-0.21884248,-0.1469131,-2.933604,0,21.42,-5.085,-7.3125,0
1.4496891,-6.2608376,3.241749,-21.92889,-50.492554,0.345597,-1.1633929,-0.057039544,0,20.422499,-6.8624997,-7.5525,0
-1.4449008,-17.068264,-4.4927197,-21.928835,-50.492573,-0.15592335,-2.0222695,-1.2720505,0,22.515,-7.5,-2.6025,0
6.716933,-11.8261595,2.2780828,-21.928823,-50.492573,-2.1284072,-0.68325275,-2.1975114,0,20.775,-10.5975,6.9075,0
3.6332011,-8.763975,-0.8355764,-21.928797,-50.49257,0.44394633,1.4187346,1.12865,0,13.035,-12.915,23.88,0
2.4959552,-10.235212,2.0147207,-21.928795,-50.492558,1.274723,0.45540005,0.4432591,0,6.99,-12.6675,30.2775,0
-3.9803603,-13.776237,0.46447513,-21.928795,-50.492542,1.9882137,2.0204368,1.0064769,0,14.197499,-12.202499,14.197499,0
-5.705383,-8.980651,-2.0123265,-21.928791,-50.492535,0.10552697,3.2507193,-2.3862686,0,8.3025,-14.099999,10.2975,0
-2.3391352,-5.233725,2.956839,-21.92879,-50.49252,1.64674,-1.4022411,-1.9305632,0,18.3675,-3.0674999,-0.465,0
1.9800048,-14.077906,0.038307227,-21.928797,-50.492462,-0.10949759,-1.1695015,-2.4730115,0,13.3949995,-7.4925,2.1,0
7.0461354,-11.469423,-5.469554,-21.928797,-50.492435,-0.8706357,0.3051272,-2.1510856,0,12.9225,-7.7025,0.5475,0
4.381389,-13.336901,-2.1751323,-21.928806,-50.492367,-1.377043,-0.09743301,-2.8346438,0,13.702499,-8.7825,-0.26999998,0
1.7226281,-13.959393,-1.7609353,-21.928812,-50.492332,-0.37888917,-0.95447695,-0.7051676,0,15.697499,-9,-2.4975,0
2.3953989,-6.975507,1.0618285,-21.928793,-50.49231,0.10247265,0.59650993,0.9887618,0,15.9,-11.0025,-5.4975,0
2.1176715,-5.2121773,1.6280571,-21.928787,-50.4923,-0.2921463,0.9831876,0.34918585,0,15.434999,-14.077499,-7.74,0
-0.2753332,-11.780669,0.6775591,-21.928791,-50.492226,0.26923886,0.49754974,0.9930378,0,19.484999,-12.3075,-4.8599997,0
4.775235,-28.93752,-10.049662,-21.928793,-50.49221,1.2423472,1.0296134,1.8775707,0,20.205,-7.62,-2.2124999,0
3.9588125,-0.48362875,0.60812724,-21.928774,-50.492203,2.1568124,2.8322768,0.842765,0,17.234999,-4.62,1.2149999,0
-2.6120741,-16.414646,-4.3047748,-21.928751,-50.492218,-0.95554596,0.22388211,-1.2353987,0,8.3475,-12.4574995,12.6825,0
4.722563,-11.5616,1.9177556,-21.928684,-50.49221,-1.9781344,-0.14019357,-2.0228038,0,5.31,-17.6475,20.76,0
1.2629414,-10.043676,0.130484,-21.928606,-50.492203,0.34498614,1.2110404,0.94477946,0,1.2375,-19.395,17.565,0
1.4927847,-11.451467,1.2246342,-21.928545,-50.492195,1.6534595,0.7968737,0.6924921,0,3.7949998,-11.474999,16.0275,0
-5.011064,-12.495338,-3.9875429,-21.928328,-50.492245,1.5184582,1.8298469,0.82138467,0,8.7,-16.7025,15.997499,0
-4.0617633,-6.9503675,-1.7489643,-21.92829,-50.492195,-0.9940305,2.0821342,-2.5915194,0,8.662499,-22.9875,20.789999,0
3.7122097,-6.815095,1.1312603,-21.928282,-50.492188,0.39446622,-1.2104294,-0.6520223,0,14.872499,-22.859999,16.6275,0
5.117606,-11.148601,-4.9416323,-21.928228,-50.49215,-1.3715452,-0.11881329,-1.9580522,0,8.122499,-23.039999,15.2925,0
3.6475663,-9.076419,0.533907,-21.92827,-50.492126,-0.45830166,1.4107933,0.6436229,0,12.825,-26.295,9.885,0
2.4049757,-7.633912,0.8726865,-21.92836,-50.49207,0.853226,0.31978795,0.24900395,0,12.375,-18.3225,14.115,0
7.7105265,-12.144588,-12.447454,-21.92835,-50.492065,0.8428413,1.6184875,1.6423876,0,6.9975,-17.0025,13.5975,0
-2.8431146,-11.285069,-1.2294226,-21.928343,-50.492054,-0.4466952,0.7870999,-0.33376148,0,2.4975,-15.8025,16.4025,0
0.9947908,-10.172963,1.365892,-21.928333,-50.49205,-0.061850104,0.66553766,0.037644573,0,5.0025,-14.4,16.7025,0
6.149507,-4.7189717,6.1040173,-21.928322,-50.492043,-1.5010486,3.2794302,-1.215851,0,5.6025,-9.8175,20.6325,0
3.4344823,2.7724855,8.935161,-21.92831,-50.492035,0.21670444,0.06811147,0.105450615,0,-6.6974998,-5.4,22.8975,0
-3.8426938,2.4061728,3.0466216,-21.928293,-50.49203,0.31688634,0.23182335,0.09078985,0,-16.8975,-8.7,16.5,0
-2.574964,0.9888053,9.276335,-21.928268,-50.492027,0.32177326,-0.32834008,-0.879875,0,-15.5025,-9.9,17.4,0
-1.6196774,4.343082,8.485051,-21.928152,-50.492107,-0.26343563,-0.23609942,0.011377365,0,-13.8975,-1.5,18.6,1
1.4580688,3.6224272,8.993818,-21.928152,-50.492107,-0.52855116,0.28924468,0.22151501,0,-7.5975,-5.4,21.8025,1
2.0829554,3.072958,8.483853,-21.928152,-50.492107,-0.7228063,-0.9416488,-0.444939,0,-6.6974998,-6.6974998,18.6,1
9.136273,-1.6280571,-2.3870192,-21.928152,-50.492107,-0.7454083,0.8023715,0.81955206,3,6.75,-14.2575,-0.8325,1
6.2632318,-9.11712,3.8989575,-21.928152,-50.492107,-0.64644814,-1.058324,-0.13950635,0,-5.7,-17.0025,4.1025,1
5.5856724,-5.961562,2.597709,-21.928148,-50.4921,-0.14859296,-0.11209377,0.6008623,0,6.39,-9.1425,18.585,1
8.590396,-1.435324,6.3482256,-21.928148,-50.4921,-0.21212296,0.6020077,-1.4278212,84,0,-5.7974997,20.699999,1
7.404069,1.364695,8.470686,-21.928148,-50.4921,-0.24510968,0.38453966,-0.17188221,317,-4.2,-6.2999997,21.3,1
1.7717092,-0.2741361,10.0748005,-21.928148,-50.4921,1.5245669,0.04062254,1.3638331,252,-10.2375,-4.6349998,15.577499,1
5.9926867,4.560954,7.20535,-21.928148,-50.4921,0.79091775,-1.4083499,0.74808085,181,5.5875,-1.3349999,18.2925,1
9.368511,0.45609543,1.780089,-21.928127,-50.492104,-0.124769226,-0.12980886,-0.53473616,106,8.429999,3.4199998,15.2699995,1
5.5246205,3.0909145,3.1794999,-21.928057,-50.492054,-0.2603813,-0.310625,-0.09735665,82,-1.4024999,-1.2975,18,1
6.2823853,2.5905263,5.723339,-21.928099,-50.49209,-0.43569964,0.6765333,0.032757647,217,-3.3975,-7.2974997,21.9,1
3.834314,1.1528081,6.9611416,-21.928099,-50.49209,1.5044084,0.6753115,2.3583217,325,8.497499,9.5175,5.73,1
1.8770541,-0.07062895,8.839393,-21.928118,-50.4921,-0.061850104,-0.013744468,1.0535135,377,16.5,16.297499,10.1025,1
-0.7517793,1.6723499,9.51336,-21.928122,-50.49213,-0.0032070426,0.0070249503,-0.0020616702,475,10.5,20.699999,26.4,1
-0.033518825,1.5275006,9.586384,-21.92806,-50.49207,0.0016798794,0.0015271631,-0.0008399397,232,9.8025,21,26.4975,1
-0.24061728,1.5286977,9.585187,-21.928059,-50.49206,0.005955936,-0.043066,0.07857254,147,9.9,21,26.602499,1
-0.053869538,1.4975731,9.600749,-21.928068,-50.492073,-0.00015271631,0.0021380284,-0.02649628,119,9.5025,21,26.797499,1
-0.1448492,1.5286977,9.581595,-21.928074,-50.49208,-0.00076358154,-0.0009162979,0.003436117,101,8.6025,21.0975,27.3,1
-0.24061728,1.4999673,9.588778,-21.928074,-50.49208,0.0022907446,-0.0009162979,0.0071013086,243,8.497499,21.0975,27.2025,1
-0.08140286,1.4951789,9.601946,-21.928082,-50.49208,0.00045814895,0.0009162979,0.00038179077,240,8.7,21.0975,27.6975,1
-0.037110128,1.532289,9.598354,-21.928087,-50.492085,0.00045814895,-0.0015271631,0.0028252518,370,8.6025,21,27.9,1
-0.017956512,1.5167267,9.593566,-21.928108,-50.49209,-0.00015271631,0.0009162979,-0.0032834008,368,8.497499,21.0975,28.102499,1
