Acc-1,Acc-2,Acc-3,Gps-1,Gps-2,Gyr-1,Gyr-2,Gyr-3,Lum-1,MagF-1,MagF-2,MagF-3,Class
0.907402,-21.915325,0.365116,-21.928532,-50.492157,-0.151342,-1.455768,-1.252274,5.000000,8.602500,-10.485000,17.137499,0
9.452309,-10.008960,-0.700304,-21.928488,-50.492157,-1.966833,-1.336039,-1.484403,4.000000,1.687500,-11.542500,21.164999,0
3.997120,-9.127894,-0.709881,-21.928476,-50.492160,0.065515,1.728061,0.988380,4.000000,-1.830000,-9.832500,23.467499,0
8.815451,-10.524911,1.416170,-21.928430,-50.492170,0.587805,2.189265,1.073901,4.000000,1.830000,-10.252500,21.937500,0
3.307590,-11.942278,0.745794,-21.928423,-50.492172,-0.250913,0.112934,1.268156,5.000000,9.997499,-10.800000,17.902500,0
20.347122,-16.852785,-11.301829,-21.928408,-50.492176,-0.287565,0.618730,-0.064141,7.000000,9.780000,-10.192500,18.630000,0
0.495600,-6.566098,3.132813,-21.928394,-50.492180,1.780825,-0.315283,-0.012217,6.000000,11.227500,-8.197500,18.007500,0
1.982399,-13.819332,-5.324705,-21.928377,-50.492188,0.975094,-3.022638,-1.671327,4.000000,8.220000,-11.692500,18.667500,0
4.316746,-12.619837,-7.621941,-21.928366,-50.492190,-2.275931,-1.598711,-2.258980,4.000000,1.462500,-12.532499,20.752499,0
0.919373,-9.722853,3.778050,-21.928356,-50.492190,-0.450666,-0.094150,0.448375,6.000000,1.815000,-11.017500,22.582499,0
4.246117,-3.768473,-2.014721,-21.928345,-50.492195,0.082009,3.985819,0.280387,6.000000,0.127500,-9.570000,22.267500,0
0.286107,-11.350910,0.088585,-21.928333,-50.492200,1.366658,-2.149100,2.657875,5.000000,9.502500,-10.402500,18.202500,0
-7.044939,-15.641319,-2.863465,-21.928324,-50.492203,-0.256411,2.357253,-0.546724,4.000000,8.760000,-11.625000,17.685000,0
-2.790442,-3.250129,1.278504,-21.928316,-50.492207,1.613448,0.927217,1.079399,5.000000,11.804999,-8.767500,16.440000,0
4.406528,-7.114370,2.159570,-21.928308,-50.492207,0.746630,-2.978655,-2.086716,5.000000,10.312500,-9.382500,16.657500,0
4.850653,-8.899248,-3.116054,-21.928297,-50.492190,-2.522110,-0.034896,-3.291953,3.000000,4.545000,-10.755000,19.762499,0
4.230555,-9.545682,3.949236,-21.928295,-50.492190,1.351387,-1.436221,0.682947,4.000000,1.552500,-11.250000,20.482500,0
7.545327,-5.239710,-3.001132,-21.928290,-50.492190,0.686154,0.007865,0.483194,5.000000,0.517500,-9.795000,22.365000,0
-0.709881,-8.872911,-0.059855,-21.928278,-50.492188,0.503506,-3.010420,2.095268,4.000000,11.902500,-8.602500,16.800000,0
7.558495,-4.848259,-2.457648,-21.928259,-50.492184,-0.023671,0.329791,0.713491,2.000000,18.052500,-4.192500,11.887500,0
-2.403779,-4.708198,1.001973,-21.928242,-50.492184,1.400867,-0.736780,0.166766,1.000000,22.890000,1.867500,5.662500,0
3.187880,-7.985860,-0.717063,-21.928232,-50.492184,-0.503811,-1.295111,-1.399492,3.000000,15.045000,4.252500,3.052500,0
3.201048,-7.357382,-5.647922,-21.928171,-50.492207,-2.630233,0.750677,-3.087313,1.000000,11.782499,-5.947500,4.710000,0
5.462371,-9.532514,4.201824,-21.928150,-50.492207,-0.476933,-0.048946,0.486860,4.000000,26.055000,-12.457500,4.350000,0
7.781156,-6.833052,0.562637,-21.929178,-50.492504,0.871247,1.126359,0.608422,6.000000,18.240000,5.265000,14.880000,0
-1.731008,-9.039309,-1.698686,-21.928060,-50.492245,-0.798248,0.254654,1.628567,5.000000,21.202500,0.802500,12.202499,0
39.221813,-11.574768,-6.369773,-21.929222,-50.492477,-0.156229,-0.005574,0.003665,3.000000,22.590000,0.862500,0.922500,0
1.420959,-5.092467,2.552219,-21.928034,-50.492260,1.599398,0.483118,-0.196699,3.000000,16.507500,2.332500,-13.987499,0
0.712275,-17.925388,-4.849455,-21.929232,-50.492490,-0.071319,-1.882152,-1.009760,4.000000,18.367500,7.867500,2.220000,0
8.761581,-10.463859,2.574964,-21.929228,-50.492516,-2.034029,-0.229762,-0.698219,4.000000,19.725000,1.852500,15.232500,0
4.174291,-7.696161,0.527922,-21.929220,-50.492508,0.419817,1.889941,0.846048,2.000000,20.332500,1.117500,7.125000,0
4.436456,-9.594764,1.210269,-21.927969,-50.492336,1.723404,1.459892,1.206459,3.000000,15.540000,-0.915000,3.240000,0
6.898892,-16.772580,0.015562,-21.929201,-50.492493,-0.136681,0.019471,0.924239,2.000000,20.302500,2.497500,3.300000,0
0.955287,-6.676231,-2.348712,-21.927940,-50.492367,0.459523,0.886900,-1.169807,2.000000,22.064999,6.015000,4.335000,0
4.024653,-4.107253,0.156820,-21.929180,-50.492500,0.557262,-0.190055,-0.707993,4.000000,21.772500,3.300000,7.477500,0
6.034586,-10.147824,1.918953,-21.929085,-50.492535,-2.362674,2.464765,-2.747672,3.000000,19.650000,-3.330000,8.797500,0
6.736086,-8.379706,0.489614,-21.929031,-50.492558,0.587194,-0.756328,0.614530,3.000000,20.692500,-6.307500,5.377500,0
6.579266,-6.518214,-0.093374,-21.928995,-50.492565,0.967152,1.405525,0.717156,3.000000,20.265000,-2.572500,4.590000,0
-0.056264,-8.082825,2.916138,-21.928940,-50.492573,0.803441,0.139812,1.699427,2.000000,17.400000,3.300000,1.102500,0
2.894590,-3.457227,-3.654749,-21.928910,-50.492573,-1.459815,-2.990262,1.515557,2.000000,16.199999,0.397500,0.997500,0
-0.767342,-5.042189,1.078588,-21.928902,-50.492577,1.537701,0.149586,0.988380,2.000000,23.070000,2.295000,-2.640000,0
1.997961,-10.158598,1.441310,-21.928890,-50.492577,0.253662,-2.116114,-1.607797,3.000000,22.500000,7.950000,-1.515000,0
6.449979,-10.362105,-3.748123,-21.928879,-50.492570,-2.509893,-0.261527,-3.728111,4.000000,22.822500,2.332500,3.555000,0
4.467580,-9.193734,0.234632,-21.928870,-50.492565,0.446084,-0.225486,0.276722,3.000000,16.882500,2.227500,0.187500,0
6.846220,-8.520964,2.495955,-21.928856,-50.492560,0.659276,1.373149,0.882700,4.000000,10.702499,1.402500,-2.197500,0
7.077260,-6.821081,0.816423,-21.928846,-50.492554,-0.634536,0.464181,1.588861,3.000000,13.597500,-2.197500,-2.002500,0
1.277307,-5.971139,-0.409408,-21.928835,-50.492508,0.805273,-0.300011,-2.084272,3.000000,21.892500,2.737500,-1.635000,0
3.876213,-5.256470,0.348356,-21.928831,-50.492496,0.475406,-1.184544,-0.762971,4.000000,20.895000,6.067500,1.507500,0
5.224148,-10.099940,-4.823119,-21.928830,-50.492440,-2.629622,-0.372704,-3.384193,3.000000,20.197500,-0.697500,6.097500,0
3.736152,-8.956709,0.137667,-21.928827,-50.492424,0.115606,0.236939,0.357356,4.000000,17.640000,-5.467500,1.327500,0
4.441244,-10.250774,2.237382,-21.928823,-50.492397,0.873079,1.566182,0.836885,5.000000,18.097500,-6.232500,0.885000,0
7.624335,-9.400833,3.272874,-21.928820,-50.492380,-0.737162,-0.575511,1.387886,5.000000,24.202500,0.502500,0.397500,0
-0.122104,-5.024232,-0.323217,-21.928814,-50.492290,0.806495,0.093386,-1.897348,3.000000,26.797499,7.462500,-3.217500,0
6.181829,-4.216189,-3.535039,-21.928810,-50.492275,0.901790,-1.451492,-0.778242,5.000000,19.890000,14.535000,-1.567500,0
5.492299,-9.209297,-1.455675,-21.928806,-50.492264,-2.972929,2.993163,-3.078761,5.000000,15.817500,4.995000,4.785000,0
8.385692,-9.560047,1.635240,-21.928783,-50.492200,0.150426,-0.030620,0.425162,3.000000,15.832500,-0.367500,3.922500,0
8.523358,-7.723695,1.063026,-21.928776,-50.492190,0.782671,1.828854,0.765414,3.000000,13.882500,-2.602500,4.507500,0
-0.064643,-8.763975,1.248576,-21.928750,-50.492170,0.998917,-0.899270,2.156965,3.000000,21.000000,-0.202500,0.997500,0
8.462306,-3.331532,-5.625177,-21.928724,-50.492165,-1.101237,-1.445994,0.849103,2.000000,24.862500,3.307500,3.367500,0
-0.547075,-4.029441,1.335965,-21.928709,-50.492165,1.708132,0.867352,1.043358,2.000000,20.984999,5.475000,0.960000,0
1.456872,-17.006014,-3.604471,-21.928696,-50.492165,0.008705,-2.075186,-1.135599,2.000000,18.779999,4.792500,2.092500,0
7.849391,-9.065644,-2.413355,-21.928682,-50.492160,-2.616794,-0.817414,-2.636494,1.000000,19.402500,-0.510000,1.627500,0
5.013458,-8.554482,-1.358710,-21.928673,-50.492160,-0.264352,0.352393,0.675006,1.000000,19.275000,-1.342500,-0.510000,0
3.270479,-8.354567,2.304419,-21.928654,-50.492157,0.946383,1.750053,0.926072,1.000000,16.920000,1.462500,-3.315000,0
-2.636016,-14.732720,-2.683900,-21.928644,-50.492157,-0.417679,-0.945085,0.690278,0.000000,19.102499,4.200000,-0.997500,0
-0.245406,-5.987898,0.310049,-21.928633,-50.492157,0.474795,0.347506,-1.432479,0.000000,19.199999,0.997500,6.300000,0
2.725799,-18.637663,-0.968455,-21.928623,-50.492160,-0.124464,-1.776472,-0.673784,0.000000,15.202499,-7.402500,18.802500,0
8.595184,-8.215703,-0.903811,-21.928585,-50.492165,-0.566730,0.696310,-0.000611,0.000000,8.595000,-11.460000,28.672499,0
6.602011,-7.289147,-1.790863,-21.928577,-50.492165,1.450958,-2.047086,1.224174,0.000000,21.202500,-3.900000,18.300000,0
8.954314,-11.623849,-2.318784,-21.928566,-50.492160,0.544434,0.849637,1.775785,0.000000,17.347500,-0.232500,9.487500,0
3.298013,-2.373851,-1.668759,-21.928556,-50.492160,1.069167,0.767170,2.214997,0.000000,16.732500,1.162500,13.139999,0
6.664260,-7.469909,-1.086968,-21.928518,-50.492157,-0.791529,-1.291446,-1.682934,0.000000,16.237500,0.570000,13.297500,0
3.675100,-12.607866,-2.207454,-21.928507,-50.492157,-1.622305,-0.080711,-2.434298,0.000000,14.002500,-3.802500,15.000000,0
3.096900,-6.936002,-4.066552,-21.928495,-50.492157,-0.712116,0.261985,0.125227,0.000000,13.897500,-3.600000,14.002500,0
-0.945710,-8.610746,0.243011,-21.928463,-50.492160,0.609796,-0.006185,1.109942,0.000000,17.302500,-3.600000,15.299999,0
3.657143,-5.996278,-1.227028,-21.928452,-50.492165,0.417985,-0.067272,0.167988,0.000000,18.675000,-1.890000,15.735000,0
5.376180,-9.181764,-1.258153,-21.928440,-50.492170,-0.502589,-0.476551,-2.272419,0.000000,17.197500,-6.697500,15.000000,0
3.119645,-10.346542,-4.630386,-21.928383,-50.492188,-0.470214,0.685925,0.035430,0.000000,15.502500,-5.197500,12.000000,0
1.434127,-11.228806,-1.004368,-21.928320,-50.492203,0.033750,-0.007407,1.378723,0.000000,13.747499,-4.215000,13.905000,0
1.917756,-0.806846,-0.452504,-21.928303,-50.492203,1.992795,0.050015,1.941330,0.000000,13.762500,-10.642500,19.957500,0
4.393360,-10.417172,0.010774,-21.928299,-50.492200,-1.970499,0.432416,-0.997543,0.000000,21.960000,-5.220000,16.237500,0
4.692636,-9.076419,0.021548,-21.928284,-50.492188,0.041081,-0.584674,0.688445,0.000000,5.460000,-15.210000,19.897500,0
4.941632,-9.126697,-2.066196,-21.928268,-50.492184,0.781449,-0.516868,1.137431,0.000000,10.380000,-14.264999,14.317500,0
-3.226187,-18.222270,-2.673126,-21.928215,-50.492188,-0.547183,-0.157069,1.374447,0.000000,7.597500,-12.502500,17.902500,0
-0.920571,-5.118803,0.500388,-21.928196,-50.492195,0.396604,-1.480203,-0.766025,0.000000,6.427500,-15.809999,17.752500,0
2.214637,-14.702792,-2.055422,-21.928125,-50.492218,0.111330,-1.828396,-1.017091,0.000000,8.925000,-11.002500,13.035000,0
8.221688,-8.949526,2.191892,-21.928102,-50.492226,-2.932000,-0.510149,-2.329840,0.000000,1.102500,-9.599999,17.602499,0
4.583699,-8.118738,0.302867,-21.928083,-50.492233,0.158978,1.111088,0.783740,0.000000,0.375000,-12.997499,22.462500,0
0.463278,-9.162610,3.641581,-21.928015,-50.492270,1.527316,1.067716,1.706147,0.000000,7.545000,-17.947500,21.480000,0
14.862007,-5.400122,-4.471172,-21.928001,-50.492290,-0.116523,-0.997008,0.794736,0.000000,15.705000,-17.857500,17.227499,0
1.177947,-6.821081,-1.657985,-21.927990,-50.492310,0.899957,-0.571235,2.037236,0.000000,7.747500,-19.627499,16.897500,0
4.815937,-10.108319,-0.363919,-21.927980,-50.492325,-3.241709,-0.747775,-0.980439,0.000000,5.295000,-24.600000,15.277499,0
4.319140,-9.374496,-1.605312,-21.927954,-50.492350,0.092393,0.262596,-0.104458,0.000000,9.997499,-25.199999,13.102500,0
2.625242,-9.604341,-1.034295,-21.927942,-50.492367,-0.007178,0.051847,0.031765,0.000000,9.900000,-25.597500,14.302500,0
2.826355,-9.484630,-0.882263,-21.927944,-50.492370,-0.033445,0.076893,-0.006720,0.000000,9.300000,-25.500000,15.000000,0
2.750938,-9.503783,-0.995988,-21.927946,-50.492370,-0.011454,-0.021457,0.008552,0.000000,9.502500,-25.500000,15.299999,0
2.573767,-9.583989,-0.742203,-21.927950,-50.492374,-0.034056,0.076893,0.015272,0.000000,9.502500,-25.500000,15.000000,0
1.968034,-9.846154,-0.322020,-21.927952,-50.492374,0.273820,-0.023289,0.116064,0.000000,8.197500,-25.897500,15.299999,0
1.695095,-10.007763,0.187945,-21.927930,-50.492386,0.008094,-0.054443,0.111788,0.000000,5.797500,-25.402500,18.600000,0
-1.549049,2.261324,9.770737,-21.928146,-50.492134,-0.184329,-0.331776,-0.204029,0.000000,-25.199999,-2.302500,16.102499,1
-0.483629,3.445256,8.366538,-21.928156,-50.492130,-0.014508,-0.056887,0.106291,0.000000,-23.100000,-0.300000,17.602499,1
-0.596156,3.477578,8.846576,-21.928156,-50.492130,-0.007789,0.010308,-0.013439,0.000000,-22.800000,0.900000,17.400000,1
-0.149638,3.731363,8.942344,-21.928156,-50.492130,0.008705,-0.045891,0.003054,1.000000,-22.500000,0.997500,18.000000,1
-0.417788,3.869030,10.171766,-21.928156,-50.492130,-0.974788,-0.373315,-0.632856,0.000000,-22.597500,1.102500,17.797499,1
6.007052,-1.616086,7.759608,-21.928156,-50.492130,-0.903928,-2.423990,1.050077,0.000000,8.782500,-9.480000,25.560000,1
5.918467,-7.135918,1.071405,-21.928150,-50.492134,2.783866,-2.774626,2.819754,0.000000,8.235000,-23.842499,15.525000,1
3.070564,-9.226056,0.676362,-21.928150,-50.492134,-0.018173,0.725021,0.206472,0.000000,9.397500,-23.002499,18.300000,1
5.864597,-6.387730,-2.203863,-21.928150,-50.492134,0.134543,-0.003131,0.601702,0.000000,14.302500,-10.402500,12.697499,1
1.823185,-5.477933,1.414973,-21.928150,-50.492134,0.457080,0.235718,-0.318261,0.000000,2.775000,-20.212500,14.070000,1
4.006697,-14.387955,2.105701,-21.928139,-50.492126,-0.832457,0.367054,-1.954158,0.000000,-5.542500,-15.315000,-5.632500,1
4.893748,-9.072827,-0.984017,-21.928146,-50.492115,-0.198378,0.321850,0.296270,0.000000,-10.972500,-12.195000,11.190000,1
4.313154,-9.999383,1.853112,-21.928146,-50.492110,0.948826,2.651690,0.295048,0.000000,-3.532500,-17.797499,17.970000,1
10.741586,-6.297947,-1.270124,-21.928144,-50.492104,-0.231976,0.004200,0.725097,0.000000,6.832500,-7.222500,22.957499,1
3.246537,-6.185420,1.412579,-21.928140,-50.492096,0.286649,-0.052000,-0.609033,0.000000,3.510000,-11.130000,21.630000,1
6.282385,-10.917560,-8.902839,-21.928133,-50.492090,-1.752420,0.182572,-3.261410,0.000000,11.632500,-5.482500,32.145000,1
6.532579,-8.031349,0.160412,-21.928135,-50.492107,1.065502,-0.304898,1.034806,0.000000,11.377500,-0.165000,24.000000,1
4.356250,-10.527305,-1.332373,-21.928135,-50.492115,1.478447,-2.169259,-0.518625,0.000000,5.992500,-1.282500,-11.160000,1
7.241263,-7.309498,-0.588974,-21.928112,-50.492150,0.243888,-0.239536,-1.132544,0.000000,-8.197500,-6.502500,-9.202499,1
12.525267,-3.879804,-4.023456,-21.928108,-50.492134,-0.352927,-0.011072,0.284052,0.000000,-8.099999,-5.700000,0.502500,1
10.093954,-6.946776,-3.098097,-21.928112,-50.492104,-0.384692,-0.449062,0.918130,0.000000,-6.097500,-4.800000,0.600000,1
6.830658,-8.510190,-3.167529,-21.928133,-50.492050,0.315359,1.417742,0.444099,0.000000,-3.900000,-4.500000,-3.202500,1
