Acc-1,Acc-2,Acc-3,Gps-1,Gps-2,Gyr-1,Gyr-2,Gyr-3,Lum-1,MagF-1,MagF-2,MagF-3,Class
-4.1683054,-3.752911,2.837129,-21.929329,-50.492043,2.631302,-0.21487185,1.568702,0,17.609999,-13.117499,2.3775,0
-3.691859,-10.905589,-3.3794158,-21.929085,-50.492012,-1.9495764,-1.8721492,-2.933375,0,17.055,-13.545,3.1499999,0
3.645172,-14.310143,-3.5625722,-21.929094,-50.49201,-3.5811975,-0.08109236,-1.3414601,0,13.7175,-14.3025,9.4425,0
1.7118542,-8.969876,-1.3503298,-21.9291,-50.492004,0.3100141,2.1589506,-0.37568212,0,10.29,-14.242499,13.7925,0
-0.7326257,-9.799467,1.7322049,-21.929102,-50.491993,2.2464569,0.8712466,0.9896017,0,8.4375,-11.925,15.7575,0
0.5482722,-14.603434,6.8462195,-21.929092,-50.491993,1.4553864,-0.40973786,0.70432764,0,15.5025,-13.8975,7.2974997,0
-3.9671922,-9.946711,-6.435614,-21.92909,-50.491997,-0.8549059,0.9213375,-2.1594086,0,15.1875,-13.92,8.1975,0
-1.1563994,-6.6642604,1.7322049,-21.929092,-50.49199,-0.4700608,-1.5233452,-0.874759,0,13.8075,-13.987499,9.2925,0
-0.4405331,-13.135788,-6.872556,-21.92909,-50.491985,-3.2220087,-0.97051215,0.28038713,0,11.37,-14.219999,11.565,0
5.530606,-12.209231,-2.8754363,-21.929085,-50.491966,-0.5177083,0.9634872,0.032986723,0,7.6124997,-14.804999,15.36,0
2.610877,-8.109161,2.9939492,-21.929073,-50.491943,2.1426098,2.7148378,0.50885075,0,5.9849997,-11.0625,18.09,0
-4.7189717,-8.713697,3.13401,-21.929071,-50.491924,1.983174,-0.52946746,0.729984,0,13.5,-14.099999,10.4025,0
-6.06571,-6.3470287,-1.0857705,-21.929008,-50.491875,0.0027488936,-0.889878,0.124005646,0,16.297499,-13.799999,6,0
-4.7800236,-3.264494,2.56419,-21.92899,-50.491867,2.409558,-0.7469355,2.1386392,0,17.22,-12.285,1.1474999,0
-2.3259668,-8.111555,1.079785,-21.928976,-50.491848,-0.9795224,-0.89843005,-1.1972959,0,16.3125,-13.0875,2.2649999,0
-4.358644,-14.873978,-0.45370123,-21.928968,-50.491837,-2.1474967,-0.082924955,-1.4123205,0,17.0625,-12.599999,-0.4125,0
1.5574282,-10.907983,1.1899183,-21.92896,-50.491825,-0.7498371,0.6177375,-0.23640485,0,14.4,-14.759999,4.5299997,0
2.885013,-8.020576,1.4269443,-21.928942,-50.49181,1.8658879,2.034334,0.5742133,0,9.622499,-11.617499,12.735,0
-13.4183035,-7.937976,5.0900726,-21.92893,-50.4918,1.6972891,-0.30283645,1.8521434,0,16.8975,-12.3,3.6,0
29.63064,-21.05461,-22.820333,-21.928905,-50.491787,-0.07238753,0.70325863,-1.496009,0,15.464999,-12.8324995,5.5425,0
-0.49679685,-3.8750155,2.15957,-21.928827,-50.491776,0.6252206,-1.048092,-0.657291,0,13.9725,-13.049999,7.3875,0
-0.60333884,-13.607446,1.7262194,-21.928814,-50.491764,-1.5855007,1.1577424,-2.1911736,0,12.675,-11.985,8.1675,0
1.7034745,-13.339294,-0.4345476,-21.928797,-50.491737,-1.2379184,-0.39263365,-0.6554584,0,9.952499,-13.275,10.5675,0
